Date UTC;T° (C);P (hPa);HR (%);P.rosée (°C);Visi (km);Vt. moy. (km/h);Vt. raf. (km/h);Vt. dir (°);RR 3h (mm);Neige (cm);Nebul. (octats)
23/09/15 00h00;8.3;1014.5;94;7.4;10;7.408;11.112;280;0;;2
23/09/15 03h00;6.6;1015;93;5.5;0.9;5.556;9.26;280;0;;0
23/09/15 06h00;7.3;1015.7;95;6.6;3;3.704;7.408;240;0;;6
23/09/15 09h00;14.5;1017.1;81;11.3;19;9.26;14.816;220;0;;7
23/09/15 12h00;16.2;1017.6;67;10.1;30;18.52;27.78;230;0;;7
23/09/15 15h00;15.5;1017.2;76;11.3;30;24.076;31.484;230;0;;8
23/09/15 18h00;14.4;1017.6;91;12.9;40;14.816;24.076;240;0;0;8
23/09/15 21h00;14.3;1018.2;91;12.8;15;12.964;20.372;240;0;;8
24/09/15 00h00;14.3;1017.8;91;12.8;13;14.816;27.78;240;0;0;8
24/09/15 03h00;14.5;1017.2;91;13;20;22.224;35.188;230;0;;8
24/09/15 06h00;14.4;1017.4;91;12.9;12;14.816;24.076;240;;;7
24/09/15 09h00;15.9;1018.6;92;14.6;12;12.964;24.076;250;0;;7
24/09/15 12h00;17.3;1019.6;66;10.9;30;18.52;31.484;270;0;;6
24/09/15 15h00;17.6;1019.9;62;10.2;30;18.52;33.336;270;0;;6
24/09/15 18h00;13.7;1021.3;80;10.3;30;7.408;20.372;260;0;;4
24/09/15 21h00;10.6;1022.5;93;9.5;5;5.556;5.556;270;0;;3
25/09/15 00h00;9.1;1023.1;97;8.6;0.1;5.556;7.408;250;0;0;8
25/09/15 03h00;8.8;1023;97;8.3;10;3.704;5.556;210;0;;3
25/09/15 06h00;7.1;1023.6;95;6.4;0.7;0;3.704;0;0;;2
25/09/15 09h00;13.1;1024.9;91;11.7;12;1.852;7.408;340;0;;4
25/09/15 12h00;16.5;1024.8;58;8.2;20;1.852;14.816;20;0;;6
25/09/15 15h00;16.4;1024.5;61;8.9;30;11.112;18.52;20;0;;6
25/09/15 18h00;13.3;1025.1;82;10.3;20;7.408;18.52;20;0;;5
25/09/15 21h00;10.5;1025.8;94;9.6;6;7.408;9.26;40;0;;4
26/09/15 00h00;8;1026;94;7.1;8;9.26;11.112;80;0;;1
26/09/15 03h00;7.7;1025.5;96;7.1;1.5;9.26;11.112;30;0;;0
26/09/15 06h00;8.9;1025.6;95;8.1;15;9.26;12.964;70;0;;1
26/09/15 09h00;14.7;1026.3;70;9.3;30;14.816;22.224;100;0;;1
26/09/15 12h00;17.5;1025.5;59;9.4;30;20.372;33.336;70;0;;2
26/09/15 15h00;17.3;1024.9;58;9;30;16.668;35.188;50;0;;3
26/09/15 18h00;14.1;1025.7;69;8.5;30;12.964;22.224;60;0;;0
26/09/15 21h00;10.9;1026.7;82;7.9;25;9.26;16.668;70;0;;0
27/09/15 00h00;10.8;1027.4;83;8;15;12.964;18.52;80;0;;0
27/09/15 03h00;10.3;1027.6;83;7.5;20;12.964;18.52;90;0;;0
27/09/15 06h00;8.6;1028.2;92;7.4;7;11.112;12.964;50;0;;0
27/09/15 09h00;15;1028.8;72;10;12;22.224;35.188;60;0;;0
27/09/15 12h00;18.2;1028.8;58;9.8;12;22.224;40.744;70;0;;2
27/09/15 15h00;18.8;1028.6;50;8.2;27;20.372;35.188;70;0;0;
27/09/15 18h00;14.3;1029.6;70;8.9;20;14.816;29.632;40;0;;1
27/09/15 21h00;12.6;1030;83;9.8;19;16.668;31.484;70;0;0;
28/09/15 00h00;10.9;1030.7;90;9.3;10;11.112;16.668;50;0;;0
28/09/15 03h00;10.6;1030.9;86;8.4;9;12.964;20.372;70;0;;0
28/09/15 06h00;10.1;1030.3;80;6.8;25;22.224;31.484;90;0;;1
28/09/15 09h00;14.6;1030.8;63;7.6;25;16.668;24.076;70;0;;1
28/09/15 12h00;19.7;1029.7;45;7.4;35;20.372;33.336;100;0;0;
28/09/15 15h00;20.3;1028.4;48;8.9;35;20.372;33.336;60;0;;2
28/09/15 18h00;15.3;1028.3;63;8.3;35;12.964;31.484;50;0;;2
28/09/15 21h00;12.3;1028.9;83;9.5;20;18.52;27.78;70;0;;2
29/09/15 00h00;10.1;1029.2;85;7.7;20;0;11.112;0;0;;2
29/09/15 03h00;9.4;1028.9;88;7.5;18;12.964;16.668;40;0;;3
29/09/15 06h00;10.2;1028.8;88;8.3;20;9.26;16.668;40;0;;5
29/09/15 09h00;14.7;1028.7;65;8.2;15;25.928;38.892;60;0;;1
29/09/15 12h00;18.3;1027.4;42;5.2;20;35.188;61.116;70;0;;1
29/09/15 15h00;17.1;1025.7;57;8.5;20;40.744;61.116;50;0;;0
29/09/15 18h00;14.6;1025.4;63;7.6;30;29.632;48.152;60;0;;1
29/09/15 21h00;12.4;1026.7;78;8.7;30;18.52;35.188;50;0;;1
30/09/15 00h00;11.6;1026.6;84;9;30;14.816;20.372;50;0;;5
30/09/15 03h00;10.9;1025.8;85;8.5;30;14.816;27.78;50;0;;0
30/09/15 06h00;10;1025.8;88;8.1;25;12.964;25.928;40;0;;0
30/09/15 09h00;14.8;1025.4;71;9.6;30;29.632;44.448;70;0;;0
30/09/15 12h00;18.5;1024.5;53;8.7;30;27.78;46.3;70;0;;0
30/09/15 15h00;18.6;1024.4;52;8.5;30;25.928;38.892;60;0;;0
30/09/15 18h00;13.6;1025.5;66;7.4;30;18.52;37.04;60;0;;0
30/09/15 21h00;11.8;1026.6;79;8.3;19;24.076;33.336;60;0;0;
01/10/15 00h00;9.7;1026.8;87;7.6;10;7.408;16.668;50;0;;0
01/10/15 03h00;9.3;1026.3;87;7.2;10;14.816;25.928;60;0;;0
01/10/15 06h00;8.1;1026.9;87;6.1;10;1.852;18.52;50;0;;0
01/10/15 09h00;14.4;1027.4;75;10;18;20.372;29.632;50;0;;0
01/10/15 12h00;17.5;1026.1;57;8.9;30;24.076;38.892;40;0;;0
01/10/15 15h00;16.5;1025.7;57;7.9;20;25.928;40.744;50;0;;1
01/10/15 18h00;13.4;1025.3;69;7.8;20;18.52;40.744;40;0;;3
01/10/15 21h00;10.3;1026.1;74;5.9;25;12.964;24.076;50;0;;0
02/10/15 00h00;9;1024.8;85;6.6;12;5.556;11.112;20;0;;6
02/10/15 03h00;7.8;1023.3;91;6.4;0.6;7.408;11.112;30;0;;1
02/10/15 06h00;8.1;1022.4;85;5.7;9;11.112;14.816;40;0;;1
02/10/15 09h00;12.6;1022;78;8.9;15;14.816;25.928;40;0;;4
02/10/15 12h00;18.3;1019.8;54;8.8;20;24.076;35.188;60;0;;6
02/10/15 15h00;17.6;1018;64;10.7;20;22.224;33.336;30;0;;2
02/10/15 18h00;14.4;1017.8;73;9.6;20;11.112;25.928;70;0;;3
02/10/15 21h00;10.7;1018.5;92;9.5;7;3.704;5.556;330;0;;3
03/10/15 00h00;9.8;1017.5;94;8.9;3;5.556;9.26;360;0;;1
03/10/15 03h00;10.2;1016.2;96;9.6;3;7.408;9.26;60;0;;5
03/10/15 06h00;9.9;1015.2;96;9.3;0.2;7.408;9.26;70;0;0;8
03/10/15 09h00;14.3;1015.4;85;11.8;8;0;5.556;0;;;3
03/10/15 12h00;19.1;1014.6;55;9.8;20;3.704;11.112;110;0;;3
03/10/15 15h00;18.7;1014.3;67;12.4;12;11.112;24.076;260;0;;5
03/10/15 18h00;14.3;1014.6;83;11.4;8;5.556;11.112;350;0;;4
03/10/15 21h00;10.2;1015.3;93;9.1;2;5.556;9.26;200;0;;3
04/10/15 00h00;10.4;1015.5;95;9.6;2;1.852;5.556;170;0;;4
04/10/15 03h00;9.4;1014.6;97;8.9;2;7.408;9.26;130;0;;1
04/10/15 06h00;9.7;1013.4;96;9.1;4;12.964;18.52;130;0;;7
04/10/15 09h00;12.1;1011.1;87;10;10;25.928;37.04;140;0;;8
04/10/15 12h00;13.6;1007.7;83;10.8;15;25.928;44.448;140;0;;8
04/10/15 15h00;11.7;1005.1;93;10.6;2.6;27.78;48.152;130;6;;8
04/10/15 18h00;12.4;1001.8;95;11.6;3;29.632;53.708;140;3;;8
04/10/15 21h00;16.5;1001.4;90;14.9;9;40.744;64.82;190;2;;8
05/10/15 00h00;16.9;1002.1;90;15.2;12;38.892;66.672;220;;;8
05/10/15 03h00;16.7;1002.6;92;15.4;8;27.78;50.004;200;0;;8
05/10/15 06h00;16.6;1002;95;15.8;10;35.188;59.264;190;3;;8
05/10/15 09h00;16.8;1002.7;95;16;4.5;31.484;50.004;180;2;;8
05/10/15 12h00;16.9;1001.6;96;16.3;6;29.632;44.448;190;3;;8
05/10/15 15h00;17.2;999.9;94;16.2;10;27.78;44.448;190;1;;8
05/10/15 18h00;16.7;999.4;90;15.1;10;29.632;46.3;190;0;;7
05/10/15 21h00;16.2;998.7;89;14.4;10;27.78;44.448;190;;;6
06/10/15 00h00;16.1;995.6;85;13.6;15;20.372;40.744;160;0;;5
06/10/15 03h00;15.2;992.9;89;13.4;10;33.336;61.116;200;16;;6
06/10/15 06h00;15.1;992.2;86;12.8;10;37.04;59.264;200;0;;7
06/10/15 09h00;14.6;993.7;93;13.5;6;44.448;70.376;240;10;;7
06/10/15 12h00;16.2;997.3;82;13.1;14;37.04;61.116;250;5;;7
06/10/15 15h00;13.6;1000.9;88;11.6;12;31.484;66.672;270;1;;7
06/10/15 18h00;12.8;1005.2;81;9.6;10;29.632;64.82;280;;;7
06/10/15 21h00;12.9;1008.7;83;10.1;12;20.372;40.744;280;0;;7
07/10/15 00h00;12;1011.3;84;9.4;12;16.668;31.484;270;0;;6
07/10/15 03h00;11.6;1012.5;83;8.8;10;12.964;29.632;280;;;7
07/10/15 06h00;11.6;1014.1;82;8.6;20;7.408;20.372;290;0;;7
07/10/15 09h00;12.5;1016.5;81;9.3;30;9.26;27.78;280;;;5
07/10/15 12h00;15.4;1017.4;61;7.9;50;12.964;24.076;300;0;0;8
07/10/15 15h00;14.2;1017.8;76;10;30;14.816;20.372;230;0;;7
07/10/15 18h00;12.9;1018.8;79;9.3;18;5.556;16.668;260;0;;7
07/10/15 21h00;11.1;1020;91;9.7;20;5.556;7.408;190;0;;6
08/10/15 00h00;10.6;1020.1;94;9.7;15;3.704;7.408;170;0;;7
08/10/15 03h00;7.4;1020.6;95;6.7;0.6;0;5.556;0;0;;4
08/10/15 06h00;6.7;1021.1;97;6.3;0.3;0;3.704;0;0;;2
08/10/15 09h00;13;1022.2;88;11.1;7;3.704;5.556;170;0;;0
08/10/15 12h00;17;1022.2;62;9.7;50;9.26;18.52;180;0;;2
08/10/15 15h00;15.5;1021.7;77;11.5;40;9.26;18.52;350;0;;4
08/10/15 18h00;11.9;1022.2;85;9.5;25;7.408;14.816;10;0;;1
08/10/15 21h00;9.3;1022.7;91;7.9;11;7.408;11.112;70;0;0;
09/10/15 00h00;8.8;1022;96;8.2;20;12.964;14.816;110;0;;1
09/10/15 03h00;8.3;1021;92;7.1;25;9.26;12.964;120;0;;0
09/10/15 06h00;7.1;1020.7;89;5.4;25;7.408;11.112;120;0;;1
09/10/15 09h00;13.7;1020.8;72;8.7;30;12.964;18.52;110;0;;3
09/10/15 12h00;16;1019.8;57;7.5;30;14.816;25.928;90;0;;6
09/10/15 15h00;16.5;1018.1;51;6.3;30;12.964;;70;0;;5
09/10/15 18h00;11.8;1018.3;72;6.9;30;9.26;16.668;70;0;;6
09/10/15 21h00;10.6;1018.4;81;7.5;5;12.964;22.224;90;0;;6
10/10/15 00h00;9.8;1017.3;78;6.1;20;14.816;20.372;90;0;;7
10/10/15 03h00;7.7;1016.5;84;5.2;20;11.112;14.816;80;0;;4
10/10/15 06h00;7.5;1015.9;84;5;20;9.26;14.816;70;0;;6
10/10/15 09h00;10.8;1015;79;7.3;15;16.668;24.076;60;0;;7
10/10/15 12h00;15.4;1013.4;69;9.7;15;16.668;29.632;70;0;;7
10/10/15 15h00;16.2;1011.6;61;8.7;15;16.668;27.78;60;0;;7
10/10/15 18h00;13.1;1011.7;83;10.3;8;18.52;29.632;70;0;;7
10/10/15 21h00;12;1012.5;88;10.1;4.5;7.408;16.668;40;0;;7
11/10/15 00h00;12.3;1012;91;10.9;3.7;14.816;24.076;60;0;0;8
11/10/15 03h00;11.9;1010.8;85;9.5;7;20.372;29.632;100;0;;7
11/10/15 06h00;10.5;1011.4;92;9.3;4;12.964;20.372;40;0;;7
11/10/15 09h00;13;1012.2;85;10.5;6;22.224;33.336;50;0;;7
11/10/15 12h00;15.8;1012.4;70;10.3;15;25.928;35.188;50;0;;7
11/10/15 15h00;15.3;1012.3;74;10.7;15;27.78;37.04;50;0;;7
11/10/15 18h00;13.4;1013.2;81;10.2;10;20.372;35.188;40;0;;7
11/10/15 21h00;13;1014.5;84;10.4;6;24.076;38.892;40;0;;7
12/10/15 00h00;11.1;1016.2;87;9;6;9.26;16.668;30;0;;7
12/10/15 03h00;9.1;1016.9;93;8;3.5;7.408;11.112;350;0;;4
12/10/15 06h00;10.3;1017.9;87;8.2;10;12.964;22.224;30;0;;2
12/10/15 09h00;12.8;1019.1;74;8.3;14;22.224;40.744;30;0;0;
12/10/15 12h00;14.2;1019.7;67;8.2;15;25.928;42.596;30;0;;3
12/10/15 15h00;13.4;1019.6;64;6.7;15;25.928;38.892;30;0;;1
12/10/15 18h00;10.2;1021;81;7.1;15;14.816;31.484;20;0;;1
12/10/15 21h00;9.3;1021.4;84;6.7;15;11.112;24.076;10;0;;0
13/10/15 00h00;9.9;1021.9;90;8.3;7;9.26;16.668;350;0;;4
13/10/15 03h00;10.2;1021.8;95;9.4;5;9.26;14.816;350;0;;5
13/10/15 06h00;9.1;1022.2;85;6.7;15;11.112;18.52;30;0;;4
13/10/15 09h00;12.2;1023.4;65;5.8;20;18.52;27.78;20;0;;2
13/10/15 12h00;12.5;1023.7;63;5.6;30;18.52;37.04;40;0;;6
13/10/15 15h00;13;1023.2;62;5.9;30;22.224;31.484;30;0;;4
13/10/15 18h00;11.1;1024.1;71;6;30;12.964;25.928;30;0;;7
13/10/15 21h00;9.6;1024.9;73;5;30;7.408;11.112;20;0;;6
14/10/15 00h00;9.5;1025;80;6.2;30;3.704;5.556;280;0;;6
14/10/15 03h00;10.1;1024.3;75;5.9;15;5.556;7.408;340;0;;7
14/10/15 06h00;10.1;1024;76;6.1;25;5.556;9.26;30;0;;7
14/10/15 09h00;11.7;1024.2;69;6.2;25;9.26;16.668;30;0;;7
14/10/15 12h00;12.7;1023.7;57;4.4;25;14.816;29.632;60;0;;7
14/10/15 15h00;12.5;1022.8;58;4.5;25;12.964;25.928;20;0;;6
14/10/15 18h00;8.4;1023.2;75;4.2;30;9.26;12.964;20;0;;1
14/10/15 21h00;6.6;1023;78;3;20;5.556;9.26;10;0;;2
15/10/15 00h00;6;1022.3;81;3;20;7.408;12.964;330;0;;7
15/10/15 03h00;8.2;1021;87;6.2;8;7.408;12.964;320;0;;7
15/10/15 06h00;7.4;1020.4;88;5.5;20;7.408;9.26;360;;;2
15/10/15 09h00;9.9;1020.9;86;7.7;10;5.556;12.964;360;;0;8
15/10/15 12h00;13.4;1020.7;67;7.4;30;20.372;33.336;30;0;;6
15/10/15 15h00;12.8;1020.5;71;7.7;40;16.668;33.336;30;0;;6
15/10/15 18h00;10.8;1021.4;80;7.5;20;9.26;20.372;10;0;;7
15/10/15 21h00;9.8;1022.5;83;7;15;7.408;11.112;70;0;;7
16/10/15 00h00;8.6;1022.9;86;6.4;13;5.556;7.408;130;0;;7
16/10/15 03h00;5.2;1022.6;94;4.3;6;0;5.556;0;0;;6
16/10/15 06h00;8.1;1022.1;86;5.9;7;7.408;11.112;330;0;;7
16/10/15 09h00;11;1022.4;87;8.9;8;5.556;7.408;350;0;;7
16/10/15 12h00;13;1022.3;79;9.4;12;12.964;18.52;40;;;7
16/10/15 15h00;13.4;1021.4;71;8.2;12;14.816;27.78;40;0;;7
16/10/15 18h00;11.9;1021.4;84;9.3;12;12.964;22.224;40;0;;7
16/10/15 21h00;11.4;1021.7;93;10.3;4;9.26;14.816;20;0;;7
17/10/15 00h00;11.5;1020.9;93;10.4;4;9.26;20.372;20;0;;7
17/10/15 03h00;11.1;1019.4;94;10.2;4;5.556;12.964;40;0;;7
17/10/15 06h00;11.1;1018.9;95;10.3;3.5;12.964;18.52;40;0;0;8
17/10/15 09h00;11.6;1019.9;95;10.8;2.3;11.112;18.52;50;0;;8
17/10/15 12h00;13;1018.8;84;10.4;11;16.668;27.78;60;;;8
17/10/15 15h00;14.3;1017.3;73;9.5;14;16.668;24.076;60;0;;6
17/10/15 18h00;11.9;1017.7;84;9.3;12;9.26;20.372;50;0;;7
17/10/15 21h00;11.3;1018.1;84;8.7;15;14.816;25.928;60;0;;5
18/10/15 00h00;9.9;1018;85;7.5;10;14.816;25.928;60;0;;0
18/10/15 03h00;6.8;1017.7;91;5.4;5;5.556;12.964;60;0;;2
18/10/15 06h00;9.1;1017.7;96;8.5;10;9.26;12.964;90;0;;7
18/10/15 09h00;12.4;1018.8;83;9.6;10;11.112;18.52;80;0;;5
18/10/15 12h00;15.8;1018.4;65;9.2;30;22.224;31.484;70;0;;5
18/10/15 15h00;14.1;1018.1;78;10.3;15;22.224;38.892;50;0;;7
18/10/15 18h00;11.4;1019.3;86;9.1;25;9.26;18.52;30;0;;3
18/10/15 21h00;9.7;1020;93;8.6;9;12.964;18.52;50;0;;2
19/10/15 00h00;8.7;1020.5;95;7.9;4.5;11.112;16.668;40;0;;2
19/10/15 03h00;6.8;1021.2;93;5.7;10;12.964;18.52;80;0;;1
19/10/15 06h00;5;1021.3;90;3.5;7;9.26;12.964;30;0;;0
19/10/15 09h00;10.3;1022.7;77;6.4;10;14.816;24.076;50;0;;1
19/10/15 12h00;15.1;1023.3;66;8.8;20;24.076;40.744;50;0;;3
19/10/15 15h00;15.1;1023.1;68;9.2;20;22.224;38.892;40;0;;3
19/10/15 18h00;12.4;1024.3;85;9.9;45;12.964;27.78;40;0;0;8
19/10/15 21h00;12;1026.3;86;9.7;28;11.112;24.076;10;0;0;8
20/10/15 00h00;12.4;1026.7;82;9.4;20;12.964;22.224;20;0;;7
20/10/15 03h00;10.5;1027;89;8.8;17;11.112;16.668;360;0;0;
20/10/15 06h00;8.8;1028;90;7.2;15;9.26;14.816;350;0;;0
20/10/15 09h00;13.1;1029.1;86;10.8;10;12.964;18.52;350;0;;2
20/10/15 12h00;14.5;1029;73;9.7;20;18.52;33.336;10;0;;7
20/10/15 15h00;13.5;1028.4;70;8.1;50;12.964;27.78;20;0;;7
20/10/15 18h00;10.4;1028.9;88;8.5;13;3.704;9.26;340;0;;7
20/10/15 21h00;8.9;1028.8;93;7.8;5;5.556;9.26;320;0;0;7
21/10/15 00h00;7.1;1027.9;96;6.5;0.3;3.704;5.556;240;0;0;8
21/10/15 03h00;9;1027;97;8.5;4.8;5.556;7.408;280;0;0;7
21/10/15 06h00;9.9;1025.2;95;9.1;10;5.556;7.408;200;0;;8
21/10/15 09h00;11.8;1025.1;91;10.4;15;12.964;18.52;240;;;8
21/10/15 12h00;14.4;1023.7;79;10.8;20;18.52;29.632;250;;;8
21/10/15 15h00;13.7;1022.3;84;11;20;12.964;25.928;260;;;8
21/10/15 18h00;13;1021.8;87;10.9;17;14.816;22.224;280;0;;8
21/10/15 21h00;12.9;1021.3;85;10.4;11;9.26;20.372;290;0;;8
22/10/15 00h00;12.7;1020.9;80;9.3;11;9.26;18.52;280;0;;8
22/10/15 03h00;12.9;1020.6;80;9.5;20;11.112;25.928;290;0;;8
22/10/15 06h00;12.5;1021.3;85;10;18;7.408;18.52;280;0;;8
22/10/15 09h00;13.3;1022;95;12.5;2.6;11.112;18.52;260;0;;8
22/10/15 12h00;13.9;1023;78;10.1;20;16.668;29.632;310;0;;8
22/10/15 15h00;13.7;1023.2;66;7.5;30;12.964;27.78;340;0;;8
22/10/15 18h00;11.8;1024.1;76;7.7;30;5.556;7.408;10;0;;7
22/10/15 21h00;11.1;1025.2;82;8.1;20;5.556;7.408;250;0;;7
23/10/15 00h00;10.9;1024.6;78;7.2;20;5.556;9.26;220;0;;7
23/10/15 03h00;10.7;1023.5;77;6.8;20;5.556;11.112;150;0;;7
23/10/15 06h00;10.5;1022.6;76;6.4;20;9.26;16.668;130;0;;8
23/10/15 09h00;11.5;1022.2;72;6.6;20;9.26;14.816;140;0;;8
23/10/15 12h00;15;1020.7;67;8.9;20;20.372;31.484;180;0;;6
23/10/15 15h00;14.7;1018.8;69;9.1;20;14.816;27.78;190;0;;6
23/10/15 18h00;13;1017.6;83;10.2;20;11.112;24.076;170;0;;7
23/10/15 21h00;12;1017.1;96;11.4;20;14.816;24.076;160;0;;8
24/10/15 00h00;12.3;1015;91;10.9;15;18.52;29.632;160;0;;7
24/10/15 03h00;12.4;1013;88;10.5;25;18.52;25.928;170;0;;8
24/10/15 06h00;12.8;1012.4;92;11.5;10;18.52;31.484;180;1;;8
24/10/15 09h00;14.2;1013.2;94;13.2;10;16.668;29.632;220;0;;8
24/10/15 12h00;14.6;1014.9;82;11.6;10;18.52;38.892;320;0;;7
24/10/15 15h00;12.1;1018.2;76;8;10;24.076;50.004;330;0;;7
